"Sample","Num_Segments","Mean_Seg_Mean","Frac_Amp","Frac_Del","SampleType"
"TCGA-A2-A0ES-01A-11D-A111-01",75,-0.446793333333333,0.08,0.24,"Tumor"
"TCGA-A2-A0ES-10A-01D-A113-01",49,-0.434759183673469,0,0.26530612244898,"Normal"
"TCGA-A2-A0ET-01A-31D-A036-01",130,-0.324778461538462,0.130769230769231,0.384615384615385,"Tumor"
"TCGA-A2-A0ET-10A-01D-A037-01",63,-0.307338095238095,0.0634920634920635,0.253968253968254,"Normal"
"TCGA-A2-A0EU-01A-22D-A059-01",99,-0.384245454545455,0.212121212121212,0.424242424242424,"Tumor"
"TCGA-A2-A0EU-10A-01D-A059-01",85,-0.482303529411765,0.0235294117647059,0.341176470588235,"Normal"
"TCGA-A2-A0EV-01A-11D-A036-01",170,-0.171874117647059,0.135294117647059,0.329411764705882,"Tumor"
"TCGA-A2-A0EV-10A-01D-A037-01",65,-0.272421538461538,0.0615384615384615,0.261538461538462,"Normal"
"TCGA-A2-A0EW-01A-21D-A111-01",115,-0.120529565217391,0.156521739130435,0.304347826086957,"Tumor"
"TCGA-A2-A0EW-10A-01D-A113-01",63,-0.254928571428571,0.0793650793650794,0.238095238095238,"Normal"
"TCGA-A2-A0EX-01A-21D-A036-01",196,0.186377040816327,0.392857142857143,0.219387755102041,"Tumor"
"TCGA-A2-A0EX-10A-01D-A037-01",79,-0.371530379746835,0.0506329113924051,0.30379746835443,"Normal"
"TCGA-A2-A0EY-01A-11D-A036-01",370,0.0243824324324324,0.281081081081081,0.278378378378378,"Tumor"
"TCGA-A2-A0EY-10A-01D-A037-01",73,-0.30902602739726,0.0547945205479452,0.287671232876712,"Normal"
"TCGA-A2-A0ST-01A-12D-A087-01",110,-0.181667272727273,0.127272727272727,0.254545454545455,"Tumor"
"TCGA-A2-A0ST-10A-01D-A087-01",47,-0.339887234042553,0.0212765957446809,0.234042553191489,"Normal"
"TCGA-A2-A0SU-01A-11D-A087-01",87,0.145713793103448,0.275862068965517,0.275862068965517,"Tumor"
"TCGA-A2-A0SU-10A-01D-A087-01",57,-0.407066666666667,0.0175438596491228,0.280701754385965,"Normal"
"TCGA-A2-A0SV-01A-11D-A087-01",173,-0.130968208092486,0.283236994219653,0.358381502890173,"Tumor"
"TCGA-A2-A0SV-10A-01D-A087-01",65,-0.327289230769231,0.0461538461538462,0.276923076923077,"Normal"
"TCGA-A2-A0SW-01A-11D-A087-01",212,-0.291318396226415,0.089622641509434,0.349056603773585,"Tumor"
"TCGA-A2-A0SW-10A-01D-A087-01",47,-0.149104255319149,0.0851063829787234,0.170212765957447,"Normal"
"TCGA-A2-A0SX-01A-12D-A087-01",218,-0.0835435779816514,0.261467889908257,0.298165137614679,"Tumor"
